N,M,time
0,0,0.064
0,1,0.128
0,2,0.256
0,3,0.512
0,4,1.024
0,5,2.048
0,6,4.096
0,7,8.192
1,0,0.128
1,1,0.256
1,2,0.512
1,3,1.024
1,4,2.048
1,5,4.096
1,6,8.192
1,7,16.384
2,0,0.192
2,1,0.384
2,2,0.768
2,3,1.536
2,4,3.072
2,5,6.144
2,6,12.288
2,7,24.576
3,0,0.256
3,1,0.512
3,2,1.024
3,3,2.048
3,4,4.096
3,5,8.192
3,6,16.384
3,7,32.768
4,0,0.32
4,1,0.64
4,2,1.28
4,3,2.56
4,4,5.12
4,5,10.24
4,6,20.48
4,7,40.96
5,0,0.384
5,1,0.768
5,2,1.536
5,3,3.072
5,4,6.144
5,5,12.288
5,6,24.576
5,7,49.152
6,0,0.448
6,1,0.896
6,2,1.792
6,3,3.584
6,4,7.168
6,5,14.336
6,6,28.672
6,7,57.344
7,0,0.512
7,1,1.024
7,2,2.048
7,3,4.096
7,4,8.192
7,5,16.384
7,6,32.768
7,7,65.536
8,0,0.5760000000000001
8,1,1.1520000000000001
8,2,2.3040000000000003
8,3,4.6080000000000005
8,4,9.216000000000001
8,5,18.432000000000002
8,6,36.864000000000004
8,7,73.72800000000001
9,0,0.64
9,1,1.28
9,2,2.56
9,3,5.12
9,4,10.24
9,5,20.48
9,6,40.96
9,7,81.92
10,0,0.704
10,1,1.408
10,2,2.816
10,3,5.632
10,4,11.264
10,5,22.528
10,6,45.056
10,7,90.112
11,0,0.768
11,1,1.536
11,2,3.072
11,3,6.144
11,4,12.288
11,5,24.576
11,6,49.152
11,7,98.304
12,0,0.832
12,1,1.664
12,2,3.328
12,3,6.656
12,4,13.312
12,5,26.624
12,6,53.248
12,7,106.496
13,0,0.896
13,1,1.792
13,2,3.584
13,3,7.168
13,4,14.336
13,5,28.672
13,6,57.344
13,7,114.688
14,0,0.9600000000000001
14,1,1.9200000000000002
14,2,3.8400000000000003
14,3,7.680000000000001
14,4,15.360000000000001
14,5,30.720000000000002
14,6,61.440000000000005
14,7,122.88000000000001
15,0,1.024
15,1,2.048
15,2,4.096
15,3,8.192
15,4,16.384
15,5,32.768
15,6,65.536
15,7,131.072
